"Relative Time (Process)","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes__MIN","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes__MAX"
"62671.921955","21111898112","21111898112","21111898112"
"62701.922731","21111898112","21111898112","21111898112"
"62731.92347","21111898112","21111898112","21111898112"
"62761.924217","21111898112","21111898112","21111898112"
"62791.925026","21111898112","21111898112","21111898112"
"62821.925944","21111898112","21111898112","21111898112"
"62851.926703","21111898112","21111898112","21111898112"
"62881.927436","21111898112","21111898112","21111898112"
"62911.928134","21111898112","21111898112","21111898112"
"62941.928933","21111898112","21111898112","21111898112"
"62971.929608","21111898112","21111898112","21111898112"
"63001.932849","21111898112","21111898112","21111898112"
"63031.933771","21111898112","21111898112","21111898112"
"63061.93448","21111898112","21111898112","21111898112"
"63091.93523","21111898112","21111898112","21111898112"
"63121.935965","21111898112","21111898112","21111898112"
"63151.936745","21111898112","21111898112","21111898112"
"63181.937565","21111898112","21111898112","21111898112"
"63211.93827","21111898112","21111898112","21111898112"
"63241.939199","21111898112","21111898112","21111898112"
"63271.939889","21111898112","21111898112","21111898112"
"63301.94065","21111898112","21111898112","21111898112"
"63331.941326","21111898112","21111898112","21111898112"
"63361.942027","21111898112","21111898112","21111898112"
"63391.942732","21111898112","21111898112","21111898112"
"63421.943662","21111898112","21111898112","21111898112"
"63451.944357","21111898112","21111898112","21111898112"
"63481.945086","21111898112","21111898112","21111898112"
"63511.945761","21111898112","21111898112","21111898112"
"63541.94646","21111898112","21111898112","21111898112"
"63571.947198","21111898112","21111898112","21111898112"
"63601.947889","21111898112","21111898112","21111898112"
"63631.9485","21111898112","21111898112","21111898112"
"63661.949024","21111898112","21111898112","21111898112"
"63691.949595","21111898112","21111898112","21111898112"
"63721.950389","21111898112","21111898112","21111898112"
"63751.951113","21111898112","21111898112","21111898112"
"63781.952058","21111898112","21111898112","21111898112"
"63811.952632","21111898112","21111898112","21111898112"
"63841.953293","21111898112","21111898112","21111898112"
"63871.953754","21111898112","21111898112","21111898112"
"63901.954328","21111898112","21111898112","21111898112"
"63931.955079","21111898112","21111898112","21111898112"
"63961.955543","21111898112","21111898112","21111898112"
"63991.956067","21111898112","21111898112","21111898112"
"64021.95673","21111898112","21111898112","21111898112"
"64051.957321","21111898112","21111898112","21111898112"
"64081.958076","21111898112","21111898112","21111898112"
